englishTerm,koreanTerm,explanation
Teach output,배설 교육,
Teach oxygen therapy care,산소요법 교육,
Teach pacemaker care,심박조율기간호 교육,
Teach pain control,통증조절 교육,
Teach parenteral feeding,비경구영양 교육,
Teach perinatal care,주산기간호 교육,
Teach perineal care,회음부간호 교육,
Teach perioperative injury care,수술주기손상간호 교육,
Teach peritoneal dialysis care,복막투석간호 교육,
Teach personal care,개인간호 교육,
Teach physical examination,신체검진 교육,
Teach physical healthcare,신체건강간호 교육,
Teach physical therapist service,물리치료서비스 교육,
Teach physician contact,의사접촉 교육,
Teach physician status report,의사의환자상태보고 교육,
Teach positioning therapy,체위간호 교육,
Teach postpartum care,산욕기간호 교육,
Teach pregnancy care,임신간호 교육,
Teach pressure ulcer care,욕창간호 교육,
Teach pressure ulcer stage 1 care,욕창간호1단계 교육,
Teach pressure ulcer stage 2 care,욕창간호2단계 교육,
Teach pressure ulcer stage 3 care,욕창간호3단계 교육,
Teach pressure ulcer stage 4 care,욕창간호4단계 교육,
Teach professional/ancillary service,전문/보조서비스 교육,
Teach psychosocial care,심리사회적간호 교육,
Teach pulmonary care,호흡기계간호 교육,
Teach pulse,맥박 교육,
Teach radiation therapy care,방사선치료간호 교육,
Teach range of motion,근관절범위운동 교육,
Teach reality orientation,현실감지남력 교육,
Teach regular diet,보통식사 교육,
Teach rehabilitation exercise,재활운동 교육,
Teach renal care,신장간호 교육,
Teach reproductive care,재생산간호 교육,
Teach respiration,호흡 교육,
Teach respiratory therapist service,호흡치료서비스 교육,
Teach safety precautions,안전주의 교육,
Teach sexual behavior analysis,성행위분석 교육,
Teach skin breakdown control,피부손상조절 교육,
Teach skin care,피부간호 교육,
Teach sleep pattern control,수면양상조절 교육,
Teach social network analysis,사회망분석 교육,
Teach social worker service,사회복지서비스 교육,
Teach special diet,치료식 교육,
Teach specimen care,검체간호 교육,
Teach speech therapist service,언어치료서비스 교육,
Teach spiritual comfort,영적안위 교육,
Teach sputum specimen care,가래검사간호 교육,
Teach stool specimen care,대변검사간호 교육,
Teach stress control,스트레스조절 교육,
Teach substance abuse control,물질남용통제 교육,
Teach temperature,체온 교육,
Teach terminal care,임종간호 교육,
Teach tobacco abuse control,담배남용통제 교육,
Teach tracheostomy care,기관절개술간호 교육,
Teach transfer care,이동간호 교육,
Teach universal precautions,일반적주의 교육,
Teach urinary catheter care,도뇨관간호 교육,
Teach urinary catheter insertion,도뇨관삽입 교육,
Teach urinary catheter irrigation,도뇨관세척 교육,
Teach urinary incontinence care,요실금간호 교육,
Teach urine specimen care,소변검사간호 교육,
Teach vascular system care,혈관계간호 교육,
Teach venous catheter care,정맥관간호 교육,
Teach ventilator care,인공호흡기간호 교육,
Teach violence control,폭력조절 교육,
Teach vision care,시력간호 교육,
Teach vital signs,활력징후 교육,
Teach wandering control,배회간호 교육,
Teach wax removal,귀이지제거 교육,
Teach weight control,체중조절 교육,
Teach wound care,상처간호 교육,
Tear,째짐,외상성 상처: 심한, 간혹 생명을 위협할 정도의 조직 손상과 쇼크의 위험을 동반한 혈액과 장액의 손실을 보이는 찢어지고 불규칙한 상처.
Tears,눈물,눈, 코, 귀, 혀, 피부를 통해 인지되는 감각.
Technique,기술,치료함
Technique,기법,치료함
Teething,생치,신체 과정
Temperature,체온,
Temporal lobe,측두엽,외측구(外側溝)의 복측(腹側)에 있는 대뇌엽(大腦葉)을 말한다. 외측면에는 외측구에 평행하여 뻗는 상측두구(上側頭溝)가 있다. 저면으로 옮기면 하측두구가 있고 이 홈(溝)까지의 사이에 상. 중. 하측두회(下側頭回)가 구별된다. 중측두회에는 불안정한 중측두구(中側頭溝)가 있다. 상측두회의 배측면에서 외측구벽에 파묻친 횡측두회가 있고, 여기에 청각영역이 있다. 그외의 영역(域)은 저면의 뇌회(腦回)도 포함하여 측두연합야(側頭連合野)로 된다. 측두엽의 저면에는 후두측두구(後頭側頭溝)가 있고, 다음의 측부구(側副溝)와의 사이에 외측후두측두회를 둘러싸고 있다.[간호학대사전]
Temporomandibular joint,악관절,하악골을 두개골에 연결시키는 관절로 이것에 의해 하악이 상악에 대하여 여러 가지 운동을 할 수 있게 됨.
Temporomandibular joint,턱관절,하악골을 두개골에 연결시키는 관절로 이것에 의해 하악이 상악에 대하여 여러 가지 운동을 할 수 있게 됨.
Tendency,경향,상태
Tenderness,누름통증,1) 접촉 혹은 가압에 대한 비정상적 과민성. 2)압박하면 그 부위에 통증을 느끼는 것. 장애에 의해 과민해진 신경간을 압박하면 통증을 느끼거나 내장질환인 경우에 신체의 어느 부위를 압박하면 통증을 느끼거나 하는 것이 그것이다. [간호학대사전]
Tenderness,압통,1) 접촉 혹은 가압에 대한 비정상적 과민성. 2)압박하면 그 부위에 통증을 느끼는 것. 장애에 의해 과민해진 신경간을 압박하면 통증을 느끼거나 내장질환인 경우에 신체의 어느 부위를 압박하면 통증을 느끼거나 하는 것이 그것이다. [간호학대사전]
Tenesmus,뒤무직,1) 배뇨, 배변의 경우에 시원하게 되지도 않고 뒤무직하여 계속 동통이 지속되는 상태. 
2) 정상상태에서 직장은 보통 공허하고 변괴가 직장으로 보내지면 직장벽을 신전해 내압이 높아지고 변의를 일으켜 반사적으로 직장연동이 일어나 내외항문의 괄약근이 이완해서 배변이 이루어진다. 그러나 직장에 염증이 있으면 직장벽이 신전되지 않아도 배변 반사가 빈발해 변의를 일으키고 배변의 내용이 거의 없음에도 불구하고 몇번이고 화장실에 가게된다. 이것을 이급후증이라고 한다.[간호학대사전]
Terminal,말기-,시점 또는 시간간격.
Terminal care,임종간호,죽음의 전후에 수행되는 활동
Testis,고환,남성 생식기계
Tetanus,파상풍,파상풍균이 일으키는 급성 전염병. 상처를 통하여 감염하며, 몸속에서 증식한 파상풍균의 독소가 중추 신경, 특히 척수를 침범함으로써 일어난다. 입이 굳어져서 벌리기 어렵게 되고, 이어서 온몸에 경직성 경련을 일으킨다. 사망률이 높으며, 예방 접종이 유효하다
Tetany,칼슘경직,1) 주로 사지말초근의 만축, 후두경련, 경련발작을 특징으로 하는 증후군으로 발작중 특유한 「조산부의 손 obstetrician’s hand」를 나타낸다. 비타민D 결핍증, 부갑상샘기능저하(특히 갑상술후에 많다), 소장흡수부전 등에 의한 혈중칼슘저하시, 또는 과호흡증후군, 구토의 반복, 알도스테로니즘 등 알칼리증으로 기울어서 혈중의 유리칼슘이 감소하였을 때 발생한다. 근전도(筋電圖)에서는, 안정시 2-수발의 단일활동전위의 반복발사가 나타난다.[간호학대사전]
2) 저칼슘혈증(hypocalcemia)에서 나타나는 현상으로서 신경근육의 흥분도가 증가된 상태이다. 원인은 부갑상샘 저하증, 인(phosphate)의 과다한 섭취: 저마그네슘혈증 등이다. 사지의 근육에 긴장연축(tonic spasm)이 와서 팔목과 엄지손가락을 안으로 구부리고, 손가락은 움츠려든다. 발은 선천성 곤봉발에서와 같이 펴지고, 발바닥은 컵모양을 하고 발가락은 구부린다.[알기쉬운 의학용어풀이집]
Tetany,테타니,1) 주로 사지말초근의 만축, 후두경련, 경련발작을 특징으로 하는 증후군으로 발작중 특유한 「조산부의 손 obstetrician’s hand」를 나타낸다. 비타민D 결핍증, 부갑상샘기능저하(특히 갑상술후에 많다), 소장흡수부전 등에 의한 혈중칼슘저하시, 또는 과호흡증후군, 구토의 반복, 알도스테로니즘 등 알칼리증으로 기울어서 혈중의 유리칼슘이 감소하였을 때 발생한다. 근전도(筋電圖)에서는, 안정시 2-수발의 단일활동전위의 반복발사가 나타난다.[간호학대사전]
2) 저칼슘혈증(hypocalcemia)에서 나타나는 현상으로서 신경근육의 흥분도가 증가된 상태이다. 원인은 부갑상샘 저하증, 인(phosphate)의 과다한 섭취: 저마그네슘혈증 등이다. 사지의 근육에 긴장연축(tonic spasm)이 와서 팔목과 엄지손가락을 안으로 구부리고, 손가락은 움츠려든다. 발은 선천성 곤봉발에서와 같이 펴지고, 발바닥은 컵모양을 하고 발가락은 구부린다.[알기쉬운 의학용어풀이집]
Therapy,요법,활동의 집합
Therapy,치료,활동의 집합
Thermoregulation,체온조절,조절계 과정: 시상하부, 피부와 체온에 의해 활성화된 생리적 기전을 통한 열생산과 열손실의 조절.
Thermoregulation impairment,체온조절장애,
Thermoregulation impairment deteriorated,체온조절장애 악화됨,
Thermoregulation impairment improved,체온조절장애 개선됨,
Thermoregulation impairment stabilized,체온조절장애 안정됨,
Thigh,넓적다리,신체 부분
Thinking,사고,활동: 생각을 분류, 정리하고 구분하는 과정, 논리적으로 생각하고 생각을 말로 표현하는 것; 지시된 목표, 개념 형성의 사용과 정신상태의 변화와 관련됨.
Thirst,갈증,지각: 입이나 목, 건조한 점막에서 물이나 다른 음료에 대해 갈구하는 느낌.
Thoracic cavity,흉강,체강
Thoracic vertebra,흉추,척추의 한부분. 경추와 요추 사이에 있어 몸의 기둥을 이루고 있음. 가슴등뼈.
Thoracic vertebra,등뼈,척추의 한부분. 경추와 요추 사이에 있어 몸의 기둥을 이루고 있음. 가슴등뼈.
Thorax,가슴,신체 부분
Thorax,흉부,신체 부분
Thought process alteration,사고과정장애,
Thought process alteration deteriorated,사고과정장애 악화됨,
Thought process alteration improved,사고과정장애 개선됨,
Thought process alteration stabilized,사고과정장애 안정됨,
Thrill,떨림,부전상태에 있는 심판막(心瓣膜)과 같이 신체부의 촉진에 있어서 시험자에게 감지되는 진동감각.
Throat,목구멍,구강의 맨 안쪽의 식도와 기도로 통하는 곳으로 인후, 후문이라고도 하는데 호흡기능, 연하시의 방어기능, 발성기능을 담당.
Throat,인두,구강, 비공 및 식도 사이에 있는 근막으로 된 주머니 모양의 부분으로, 아래쪽은 식도로 이어지고 위쪽은 후두, 구강, 비강 및 이관으로 이어져 있다. 연구개 윗부분은 비인두라고 하고 이관과 통하여 있으며, 아래쪽은 구인두와 하인두의 두부분으로 나누어져 있다. 구인두는 연구개와 후두개 사이에 있고, 하인두는 후두개 상연으로부터 아래쪽에 있으며 후두 및 식두와 통하여 있다.
Thrombosis,혈전증,1) 혈전의 생성, 진전 또는 존재.
2) 생체의 혈관내에서 혈액이 응고해서 생긴 덩어리 즉 혈전이 생기는 현상을 말한다. 혈전이 생겨서 혈관내가 폐색되면 관류역(灌流域)에 해당하는 장기는 허혈성 변화나 경색(괴사)에 빠져 기능장애를 일으키거나 순환장애 때문에 국소외부종이나 울혈증상을 일으킨다. 혈전을 일으키기 쉬운 병변으로는 혈관염, 동맥경화 등이 있는데 후자가 보다 중요하다. 또한 혈전이 생긴 부위의 혈관을 폐색하는 것이 아니고 유리되어서 혈류에 의해 운반 되어 다른 부위의 혈관을 폐색하는 것은 색전증이라고 한다.[간호학대사전]
Thrombus,혈전,혈소판과 세포성분을 둘러싼 섬유소로 구성된 혈액성분의 응집.
Thrush,아구창,감염: 진균 감염과 관련되어 하얗게 덮이는 것, 흰색 점 또는 얕은 궤양.
Thrush,구강칸디다증,감염: 진균 감염과 관련되어 하얗게 덮이는 것, 흰색 점 또는 얕은 궤양.
Thumb,엄지손가락,손의 제1지. 두개의 지골(指骨)만을 가지고 있고, 다른 네개의 손가락과 같이 늘어서 있다.
Thumb,엄지,손의 제1지. 두개의 지골(指骨)만을 가지고 있고, 다른 네개의 손가락과 같이 늘어서 있다.
Thyroid gland,갑상샘,갑상연골의 아래쪽 기도의 주위를 감싸고 있는 내분비선으로 갑상선 호르몬을 분비함.
Thyroid gland,갑상선,갑상연골의 아래쪽 기도의 주위를 감싸고 있는 내분비선으로 갑상선 호르몬을 분비함.
Tibia,경골,정강이를 이루는 뼈
Tibial artery,경골동맥,무릎 아랫쪽의 2개의 뼈 중 안쪽 뼈 부위를 지나는 동맥.
Tibial artery,정강동맥,무릎 아랫쪽의 2개의 뼈 중 안쪽 뼈 부위를 지나는 동맥.
Tic,틱,안면, 경부, 어깨 및 사지 등의 일군의 근육에 생긴 부수의적인 이상운동의 하나로, 비교적 급격하며 율동적으로 반복되는 근의 수축에 의한 것을 말한다. 심인성의 것과 기질인성의 것(기저핵병변 등의 추체외로장해)으로 구별된다. 또 틱의 분포나 성상으로부터 안면틱, 안검틱이라든가 호흡성틸, 발성틱 등 여러가지의 이름이 있고, 학동기(學童氣)에 다발한다.[간호학대사전]
Tidal volume,일회호흡량,1) 1회의 호흡에 의하여 흡입, 호출되는 가스량. 2) 1회호흡시 출입하는 공기의 양. 폐에서의 산소섭취량은 이산화탄소배출량보다 약간(약15%) 많으므로 흡기량쪽이 호기량보다도 약 5% 많은데, 대개의 경우 이 차이는 무시할 수 있다. 정상적인 성인남자의 안정시 1회 호기량은 400㎖정도이다. 운동시나 이산화탄소를 흡입했을 때, 호흡수가 느는 것과 동시에 1회 환기량도 늘어난다.[간호학대사전]
Time,시간,어떤 행동을 할 틈. 어떤 일을 하기로 정하여진 동안. [표준국어대사전]
Tingling,저림,1) 한랭 또는 신경에 대한 충격에 의하거나, 또는 중추 말초신경계의 여러 가지 질병의 결과로서 생긴 얼얼한 감각. [알기쉬운 의학용어풀이집]
2) 얼얼하거나 저린 느낌을 일컫는 용어로 신체 어느 부위에서나 가능하지만 주로 손발이나 팔다리에 발생한다. 원인으로는 외상이나 추간판 탈출증(소위 디스크라 일컬음) 등 각종 원인에 의한 신경 손상이 대표적이며, 장시간 같은 자세로 서있거나 기타 요인에 의한 혈액 순환 불량에 의할 수도 있다. 이 외에도 중추신경계 질환이 원인이 되기도 하며, 때로는 과호흡 등 어떤 원인에 의한 칼슘, 칼륨, 나트륨, 비타민 B12 등 영양소의 불균형에 의해 발생할 수도 있다. 복용하고 있는 각종 약이나 민간 약제, 독성물질(납, 알코올, 담배) 또한 원인이 될 수 있으므로 함께 검토해 보아야 한다.[서울대학교병원 의학정보]
3) 찌르는 것 같은 아픔.[표준국어대사전]
Tinnitus,이명,윙윙거리며 귓속에서 나는 잡음. 이와 같은 소리는 때로는 환자보다도 타인에 의해서 들리는 경우도 있다. 청신경에 이상이 있는 경우가 많다.[알기쉬운 의학용어풀이집]
Tinnitus,귀울림,윙윙거리며 귓속에서 나는 잡음. 이와 같은 소리는 때로는 환자보다도 타인에 의해서 들리는 경우도 있다. 청신경에 이상이 있는 경우가 많다.[알기쉬운 의학용어풀이집]
Tip,끝,사물의 마지막 한계가 되는 곳. 말단.
Tissue perfusion alteration,조직관류장애,
Tissue perfusion alteration deteriorated,조직관류장애 악화됨,
Tissue perfusion alteration improved,조직관류장애 개선됨,
Tissue perfusion alteration stabilized,조직관류장애 안정됨,
Tissue perfusion component,조직관류요소,
To deteriorate activities of daily living alteration,일상활동장애 악화,
To deteriorate activity alteration,활동장애 악화,
To deteriorate activity intolerance,활동지속성장애 악화,
To deteriorate activity intolerance risk,활동지속성장애 위험성 악화,
To deteriorate acute pain,급성통증 악화,
To deteriorate adjustment impairment,적응장애 악화,
To deteriorate airway clearance impairment,비효율적 기도청결 악화,
To deteriorate alchohol abuse,알코올남용 악화,
To deteriorate anticipatory grieving,예기비통 악화,
To deteriorate anxiety,불안 악화,
To deteriorate aspiration risk,기도흡인 위험성 악화,
To deteriorate auditory alteration,청각장애 악화,
To deteriorate autonomic dysreflexia,자율반사장애 악화,
To deteriorate bathing/hygiene deficit,목욕/개인위생결핍 악화,
To deteriorate bleeding risk,출혈 위험성 악화,
To deteriorate blood pressure alteration,혈압변화 악화,
To deteriorate body image disturbance,신체상장애 악화,
To deteriorate body nutrition deficit,영양결핍 악화,
To deteriorate body nutrition deficit risk,영양결핍 위험성 악화,
To deteriorate body nutrition excess,영양과다 악화,
To deteriorate body nutrition excess risk,영양과다 위험성 악화,
To deteriorate bowel elimination alteration,배변장애 악화,
To deteriorate bowel incontinence,변실금 악화,
To deteriorate breast feeding impairment,모유수유장애 악화,
To deteriorate breathing pattern impairment,비효율적 호흡양상 악화,
To deteriorate cardiac output alteration,심박출량장애 악화,
To deteriorate cardiovascular alteration,심장혈관장애 악화,
To deteriorate caregiver role strain,돌봄제공자역할갈등 악화,
To deteriorate cerebral alteration,대뇌장애 악화,
To deteriorate chronic low self-esteem disturbance,만성자존감저하 악화,
To deteriorate chronic pain,만성통증 악화,
To deteriorate comfort alteration,안위장애 악화,
To deteriorate communication impairment,의사소통장애 악화,
To deteriorate community coping impairment,지역사회대처장애 악화,
To deteriorate confusion,혼돈 악화,
To deteriorate constipation,변비 악화,
To deteriorate contraception risk,피임 위험성 악화,
To deteriorate decisional conflict,의사결정갈등 악화,
To deteriorate defensive coping,방어적대처 악화,
To deteriorate delivery risk,분만 위험성 악화,
To deteriorate denial,부정 악화,
To deteriorate diarrhea,설사 악화,
To deteriorate disabled family coping,가족대처불능 악화,
To deteriorate disuse syndrome,비사용증후군 악화,
To deteriorate diversional activity deficit,여가활동부족 악화,
To deteriorate dressing/grooming deficit,몸단장결핍 악화,
To deteriorate drug abuse,약물남용 악화,
To deteriorate dying process,임종과정 악화,
To deteriorate dysfunctional grieving,비정상적비통 악화,
To deteriorate electrolyte imbalance,전해질불균형 악화,
To deteriorate endocrine alteration,내분비장애 악화,
To deteriorate failure to thrive,성장지연 악화,
To deteriorate fall risk,낙상 위험성 악화,
To deteriorate family process alteration,가족과정장애 악화,
To deteriorate famliy coping impairment,가족대처장애 악화,
To deteriorate fatigue,피로 악화,
To deteriorate fear,두려움 악화,
To deteriorate fecal impaction,매복변 악화,
To deteriorate feeding deficit,음식섭취결핍 악화,
To deteriorate fertility risk,가임 위험성 악화,
To deteriorate fluid volume alteration,체액량변화 악화,
To deteriorate fluid volume decifit,체액량부족 악화,
To deteriorate fluid volume decifit risk,체액량부족 위험성 악화,
To deteriorate fluid volume excess,체액량과다 악화,
To deteriorate fluid volume excess risk,체액량과다 위험성 악화,
To deteriorate functional urinary incontinence,기능적요실금 악화,
To deteriorate gas exchange impairment,가스교환장애 악화,
To deteriorate gastrointestinal alteration,위장관장애 악화,
To deteriorate grieving,비통 악화,
To deteriorate growth & development alteration,성장발달장애 악화,
To deteriorate gustatory alteration,미각장애 악화,
To deteriorate health maintenance alteration,건강유지장애 악화,
To deteriorate health-seeking behavior alteration,건강추구행위장애 악화,
To deteriorate home maintenance alteration,가정유지장애 악화,
To deteriorate hopelessness,절망감 악화,
To deteriorate hyperthermia,고체온 악화,
To deteriorate hypothermia,저체온 악화,
To deteriorate immunologic alteration,면역장애 악화,
To deteriorate individual coping impariment,개인대처장애 악화,
To deteriorate infant feeding pattern impairment,영아영양장애 악화,
To deteriorate infection,감염 악화,
To deteriorate infection risk,감염 위험성 악화,
To deteriorate infertility risk,불임 위험성 악화,
To deteriorate injury risk,손상 위험성 악화,
To deteriorate instrumental activities of daily living alteration,도구적일상활동장애 악화,
To deteriorate intracranial adaptive capacity impairment,두개내적응능력장애 악화,
To deteriorate kinesthetic alteration,운동감각장애 악화,
To deteriorate knowledge deficit,지식부족 악화,
To deteriorate knowledge deficit of diagnostic test,진단검사 지식부족 악화,
To deteriorate knowledge deficit of dietary regimen,식사 지식부족 악화,
To deteriorate knowledge deficit of disease process,질병과정 지식부족 악화,
To deteriorate knowledge deficit of fluid volume,체액량 지식부족 악화,
To deteriorate knowledge deficit of medicatiion regimen,투약 지식부족 악화,
To deteriorate knowledge deficit of safety precautions,안전 지식부족 악화,
To deteriorate knowledge deficit of therapeutic regimen,치료 지식부족 악화,
To deteriorate labor risk,진통 위험성 악화,
To deteriorate latex allergy response,라텍스알레르기반응 악화,
To deteriorate meaningfulness alteration,의미부여장애 악화,
To deteriorate medication risk,투약 위험성 악화,
To deteriorate memory impairment,기억장애 악화,
To deteriorate musculoskeletal alteration,근골격계장애 악화,
To deteriorate nausea,오심 악화,
To deteriorate noncompliance,불이행 악화,
To deteriorate noncompliance of diagnostic test,진단검사 불이행 악화,
To deteriorate noncompliance of dietary regimen,식사 불이행 악화,
To deteriorate noncompliance of fluid volume,체액량 불이행 악화,
To deteriorate noncompliance of medication regimen,투약 불이행 악화,
To deteriorate noncompliance of safety precautions,안전 불이행 악화,
To deteriorate noncompliance of therapeutic regimen,치료 불이행 악화,
To deteriorate nutrition alteration,영양장애 악화,
To deteriorate olfactory alteration,후각장애 악화,
To deteriorate oral mucous membranes impairment,구강점막손상 악화,
To deteriorate pain,통증 악화,
To deteriorate parental role conflict,부모역할갈등 악화,
To deteriorate parenting alteration,부모역할장애 악화,
To deteriorate perceived constipation,상상변비 악화,
To deteriorate perinatal risk,주산기 위험성 악화,
To deteriorate perioperative injury risk,수술주기손상 위험성 악화,
To deteriorate perioperative positioning injury,수술주기체위손상 악화,
To deteriorate peripheral alteration,말초순환장애 악화,
To deteriorate personal identity disturbance,자아정체성장애 악화,
To deteriorate physical mobility impairment,신체적운동장애 악화,
To deteriorate physical regulation alteration,신체조절장애 악화,
To deteriorate poisoning risk,중독 위험성 악화,
To deteriorate polypharmacy,다중약물요법 악화,
To deteriorate postpartum risk,산욕기 위험성 악화,
To deteriorate posttrauma response,외상후반응 악화,
To deteriorate powerlessness,무력감 악화,
To deteriorate pregnancy risk,임신 위험성 악화,
To deteriorate rape trauma syndrome,강간상해증후군 악화,
To deteriorate reflex urinary incontinence,신경성요실금 악화,
To deteriorate relocation stress syndrome,재배치스트레스증후군 악화,
To deteriorate renal alteration,신장장애 악화,
To deteriorate reproductive risk,생식 위험성 악화,
To deteriorate respiration alteration,호흡장애 악화,
To deteriorate role performance alteration,역할수행장애 악화,
To deteriorate self-care deficit,자가간호결핍 악화,
To deteriorate self-concept alteration,자아개념장애 악화,
To deteriorate self-mutilation risk,자해 위험성 악화,
To deteriorate sensory perceptual alteration,감각지각장애 악화,
To deteriorate sexual dysfunction,성기능장애 악화,
To deteriorate sexuality patterns alteration,성패턴변화 악화,
To deteriorate situational self-esteem disturbance,상황적자존감장애 악화,
To deteriorate skin incision,피부절개 악화,
To deteriorate skin integrity alteration,피부통합성변화 악화,
To deteriorate skin integrity impairment,피부통합성장애 악화,
To deteriorate skin integrity impairment risk,피부통합성장애 위험성 악화,
To deteriorate sleep deprivation,수면박탈 악화,
To deteriorate sleep pattern disturbance,수면장애 악화,
To deteriorate social interaction alteration,사회적상호작용변화 악화,
To deteriorate social isolation,사회적고립 악화,
To deteriorate socialization alteration,사회화장애 악화,
To deteriorate spiritual distress,영적고뇌 악화,
To deteriorate spiritual state alteration,영적장애 악화,
To deteriorate stress urinary incontinence,복압성요실금 악화,
To deteriorate substance abuse,물질남용 악화,
To deteriorate suffocation risk,질식 위험성 악화,
To deteriorate suicide risk,자살 위험성 악화,
To deteriorate surgical recovery delay,수술회복지연 악화,
To deteriorate swallowing impairment,연하장애 악화,
To deteriorate tactile alteration,촉각장애 악화,
To deteriorate thermoregulation impairment,체온조절장애 악화,
To deteriorate thought process alteration,사고과정장애 악화,
To deteriorate tissue perfusion alteration,조직관류장애 악화,
To deteriorate tobacco abuse,담배남용 악화,
To deteriorate toileting deficit,용변자가간호결핍 악화,
To deteriorate trauma risk,외상 위험성 악화,
To deteriorate unilateral neglect,편측성지각장애 악화,
To deteriorate urge urinary incontinence,긴박성요실금 악화,
To deteriorate urinary elimination alteration,배뇨장애 악화,
To deteriorate urinary retention,소변정체 악화,
To deteriorate ventilatory weaning impairment,인공호흡기제거장애 악화,
To deteriorate verbal impairment,언어소통장애 악화,
To deteriorate violence risk,폭력 위험성 악화,
To deteriorate visual alteration,시각장애 악화,
To deteriorate vomiting,구토 악화,
To improve activities of daily living alteration,일상활동장애 개선,
To improve activity alteration,활동장애 개선,
To improve activity intolerance,활동지속성장애 개선,
To improve activity intolerance risk,활동지속성장애 위험성 개선,
To improve acute pain,급성통증 개선,
To improve adjustment impairment,적응장애 개선,
To improve airway clearance impairment,비효율적 기도청결 개선,
To improve alchohol abuse,알코올남용 개선,
To improve anticipatory grieving,예기비통 개선,
To improve anxiety,불안 개선,
To improve aspiration risk,기도흡인 위험성 개선,
To improve auditory alteration,청각장애 개선,
To improve autonomic dysreflexia,자율반사장애 개선,
To improve bathing/hygiene deficit,목욕/개인위생결핍 개선,
To improve bleeding risk,출혈 위험성 개선,
To improve blood pressure alteration,혈압변화 개선,
To improve body image disturbance,신체상장애 개선,
To improve body nutrition deficit,영양결핍 개선,
To improve body nutrition deficit risk,영양결핍 위험성 개선,
To improve body nutrition excess,영양과다 개선,
To improve body nutrition excess risk,영양과다 위험성 개선,
To improve bowel elimination alteration,배변장애 개선,
To improve bowel incontinence,변실금 개선,
To improve breast feeding impairment,모유수유장애 개선,
To improve breathing pattern impairment,비효율적 호흡양상 개선,
To improve cardiac output alteration,심박출량장애 개선,
To improve cardiovascular alteration,심장혈관장애 개선,
To improve caregiver role strain,돌봄제공자역할갈등 개선,
To improve cerebral alteration,대뇌장애 개선,
To improve chronic low self-esteem disturbance,만성자존감저하 개선,
To improve chronic pain,만성통증 개선,
To improve comfort alteration,안위장애 개선,
To improve communication impairment,의사소통장애 개선,
To improve community coping impairment,지역사회대처장애 개선,
To improve confusion,혼돈 개선,
To improve constipation,변비 개선,
To improve contraception risk,피임 위험성 개선,
To improve decisional conflict,의사결정갈등 개선,
To improve defensive coping,방어적대처 개선,
To improve delivery risk,분만 위험성 개선,
To improve denial,부정 개선,
To improve diarrhea,설사 개선,
To improve disabled family coping,가족대처불능 개선,
To improve disuse syndrome,비사용증후군 개선,
To improve diversional activity deficit,여가활동부족 개선,
To improve dressing/grooming deficit,몸단장결핍 개선,
To improve drug abuse,약물남용 개선,
To improve dying process,임종과정 개선,
To improve dysfunctional grieving,비정상적비통 개선,
To improve electrolyte imbalance,전해질불균형 개선,
To improve endocrine alteration,내분비장애 개선,
To improve failure to thrive,성장지연 개선,
To improve fall risk,낙상 위험성 개선,
To improve family process alteration,가족과정장애 개선,
To improve famliy coping impairment,가족대처장애 개선,
To improve fatigue,피로 개선,
To improve fear,두려움 개선,
To improve fecal impaction,매복변 개선,
To improve feeding deficit,음식섭취결핍 개선,
To improve fertility risk,가임 위험성 개선,
To improve fluid volume alteration,체액량변화 개선,
To improve fluid volume decifit,체액량부족 개선,
To improve fluid volume decifit risk,체액량부족 위험성 개선,
To improve fluid volume excess,체액량과다 개선,
To improve fluid volume excess risk,체액량과다 위험성 개선,
To improve functional urinary incontinence,기능적요실금 개선,
To improve gas exchange impairment,가스교환장애 개선,
To improve gastrointestinal alteration,위장관장애 개선,
To improve grieving,비통 개선,
To improve growth & development alteration,성장발달장애 개선,
To improve gustatory alteration,미각장애 개선,
To improve health maintenance alteration,건강유지장애 개선,
To improve health-seeking behavior alteration,건강추구행위장애 개선,
To improve home maintenance alteration,가정유지장애 개선,
To improve hopelessness,절망감 개선,
To improve hyperthermia,고체온 개선,
To improve hypothermia,저체온 개선,
To improve immunologic alteration,면역장애 개선,
To improve individual coping impariment,개인대처장애 개선,
To improve infant feeding pattern impairment,영아영양장애 개선,
To improve infection,감염 개선,
To improve infection risk,감염 위험성 개선,
To improve infertility risk,불임 위험성 개선,
To improve injury risk,손상 위험성 개선,
To improve instrumental activities of daily living alteration,도구적일상활동장애 개선,
To improve intracranial adaptive capacity impairment,두개내적응능력장애 개선,
To improve kinesthetic alteration,운동감각장애 개선,
To improve knowledge deficit,지식부족 개선,
To improve knowledge deficit of diagnostic test,진단검사 지식부족 개선,
To improve knowledge deficit of dietary regimen,식사 지식부족 개선,
To improve knowledge deficit of disease process,질병과정 지식부족 개선,
To improve knowledge deficit of fluid volume,체액량 지식부족 개선,
To improve knowledge deficit of medicatiion regimen,투약 지식부족 개선,
To improve knowledge deficit of safety precautions,안전 지식부족 개선,
To improve knowledge deficit of therapeutic regimen,치료 지식부족 개선,
To improve labor risk,진통 위험성 개선,
To improve latex allergy response,라텍스알레르기반응 개선,
To improve meaningfulness alteration,의미부여장애 개선,
To improve medication risk,투약 위험성 개선,
To improve memory impairment,기억장애 개선,
To improve musculoskeletal alteration,근골격계장애 개선,
To improve nausea,오심 개선,
To improve noncompliance,불이행 개선,
